Frame,Drop Height,Change,Distance
384,710,0,0
385,710,0,0
386,694,-16,0
387,694,0,0
388,754,60,0
389,694,-60,0
390,752,58,0
391,725,-27,0
392,752,27,0
393,725,-27,0
394,694,-31,0
395,694,0,0
396,694,0,0
397,74,-620,0
398,694,620,0
399,694,0,0
400,694,0,0
401,751,57,0
402,751,0,0
403,74,-677,0
404,183,109,0
405,183,0,0
406,183,0,0
407,183,0,0
408,183,0,0
409,183,0,0
410,74,-109,0
411,74,0,0
412,74,0,0
413,710,636,0
414,710,0,0
415,710,0,0
416,710,0,0
417,74,-636,0
418,710,636,0
419,710,0,0
420,710,0,0
421,74,-636,0
422,183,109,0
423,74,-109,0
424,74,0,0
425,74,0,0
426,74,0,0
427,694,620,0
428,694,0,0
429,183,-511,0
430,74,-109,0
431,183,109,0
432,183,0,0
433,183,0,0
434,183,0,0
435,74,-109,0
436,74,0,0
437,187,113,0
438,74,-113,0
439,74,0,0
440,74,0,0
441,74,0,0
442,85,11,0
443,186,101,0
444,74,-112,0
445,74,0,0
446,74,0,0
447,74,0,0
448,700,626,0
449,700,0,0
450,74,-626,0
451,74,0,0
452,700,626,0
453,74,-626,0
454,700,626,0
455,700,0,0
456,74,-626,0
457,74,0,0
458,74,0,0
459,700,626,0
460,700,0,0
461,183,-517,0
462,183,0,0
463,183,0,0
464,74,-109,0
465,84,10,0
466,183,99,0
467,183,0,0
468,183,0,0
469,183,0,0
470,74,-109,0
471,74,0,0
472,74,0,0
473,74,0,0
474,74,0,0
475,74,0,0
476,74,0,0
477,183,109,0
478,84,-99,0
479,74,-10,0
480,74,0,0
481,74,0,0
482,183,109,0
483,183,0,0
484,183,0,0
485,183,0,0
486,183,0,0
487,183,0,0
488,183,0,0
489,183,0,0
490,183,0,0
491,183,0,0
492,75,-108,0
493,75,0,0
494,689,614,0
495,725,36,0
496,700,-25,0
497,183,-517,0
498,183,0,0
499,183,0,0
500,183,0,0
501,183,0,0
502,183,0,0
503,183,0,0
504,725,542,0
505,74,-651,0
506,74,0,0
507,74,0,0
508,74,0,0
509,183,109,0
510,183,0,0
511,183,0,0
512,183,0,0
513,183,0,0
514,75,-108,0
515,75,0,0
516,75,0,0
517,75,0,0
518,75,0,0
519,75,0,0
520,75,0,0
521,75,0,0
522,75,0,0
523,75,0,0
524,75,0,0
525,75,0,0
526,183,108,0
527,700,517,0
528,183,-517,0
529,715,532,0
530,715,0,0
531,715,0,0
532,715,0,0
533,715,0,0
534,715,0,0
535,715,0,0
536,715,0,0
537,715,0,0
538,715,0,0
539,715,0,0
540,715,0,0
541,751,36,0
542,715,-36,0
543,183,-532,0
544,183,0,0
545,715,532,0
546,183,-532,0
547,85,-98,0
548,96,11,0
549,715,619,0
550,96,-619,0
551,715,619,0
552,715,0,0
553,96,-619,0
554,96,0,0
555,183,87,0
556,96,-87,0
557,96,0,0
558,96,0,0
559,96,0,0
560,731,635,0
561,731,0,0
562,715,-16,0
563,715,0,0
564,715,0,0
565,715,0,0
566,715,0,0
567,715,0,0
568,187,-528,0
569,96,-91,0
570,187,91,0
571,183,-4,0
572,183,0,0
573,183,0,0
574,187,4,0
575,187,0,0
576,183,-4,0
577,183,0,0
578,183,0,0
579,183,0,0
580,183,0,0
581,754,571,0
582,754,0,0
583,183,-571,0
584,188,5,0
585,188,0,0
586,188,0,0
587,183,-5,0
588,84,-99,0
589,84,0,0
590,84,0,0
591,84,0,0
592,84,0,0
593,96,12,0
594,96,0,0
595,96,0,0
596,183,87,0
597,183,0,0
598,96,-87,0
599,96,0,0
600,96,0,0
601,75,-21,0
602,75,0,0
603,75,0,0
604,75,0,0
605,75,0,0
606,75,0,0
607,75,0,0
608,75,0,0
609,75,0,0
610,183,108,0
611,183,0,0
612,75,-108,0
613,75,0,0
614,183,108,0
615,183,0,0
616,74,-109,0
617,74,0,0
618,75,1,0
619,183,108,0
620,183,0,0
621,183,0,0
622,183,0,0
623,183,0,0
624,183,0,0
625,183,0,0
626,183,0,0
627,183,0,0
628,183,0,0
629,183,0,0
630,183,0,0
631,183,0,0
632,183,0,0
633,183,0,0
634,183,0,0
635,183,0,0
636,183,0,0
637,75,-108,0
638,75,0,0
639,75,0,0
640,75,0,0
641,75,0,0
642,75,0,0
643,75,0,0
644,75,0,0
645,75,0,0
646,75,0,0
647,75,0,0
648,75,0,0
649,75,0,0
650,75,0,0
651,75,0,0
652,75,0,0
653,75,0,0
654,75,0,0
655,75,0,0
656,75,0,0
657,75,0,0
658,75,0,0
659,75,0,0
660,183,108,0
661,183,0,0
662,183,0,0
663,721,538,0
664,715,-6,0
665,715,0,0
